concept_id,name
578,Abdominal guarding
579,Liver size
580,Splenomegaly
581,Ascites
582,Mass
583,Mass cystic
584,Mass pulsatile
585,Mass tender
586,Aortic bruit
587,Hepatic bruit
588,Clubbing
589,Cyanosis
590,"Edema, legs"
591,Varicose veins
592,Venous stasis
593,Ulcers
594,Muscle atrophy RUE
595,Muscle atrophy LUE
596,Muscle atrophy RLE
597,Muscle atrophy LLE
598,Muscle atrophy diffuse
599,Cranial nerve abnormalities
600,Decreased sensation rue
601,Biceps reflex
602,Patellar reflex
603,Ankle reflex
604,Gait
605,Rhomberg
606,Depressed
607,Demented
608,Neck supple
609,Abdominal tenderness LUQ
610,Abdominal tenderness RUQ
611,Abdominal tenderness LLQ
612,Abdominal tenderness RLQ
613,Muscle weakness diffuse
614,Muscle weakness LLE
615,Muscle weakness LUE
616,Muscle weakness RLE
617,Muscle weakness RUE
618,Focal CNS
619,Decreased sensation LLE
620,Headache
621,AZT
622,ZDV
623,Retrovir
624,D4T
625,Stavudine
626,Zerit
627,3TC
628,Lamivudine
629,Epivir
630,Zidovudine and Lamivudine
631,Nevirapine
632,Viramune
633,Efavirenz
634,Sustive
635,Nelfinavir
636,Viracept
637,Crepitations RUL
638,Crepitations RML
639,Right lower lobe
640,Crepitations LUL
641,Crepitations lingula
642,Crepitations LLL
643,Cervical
644,Kaposi sarcoma oral
645,CXR
646,Elisa
647,Full hemogram
648,HGB
649,WBC
650,ALC
651,PLTS
652,LFTS
653,Serum glutamic-oxaloacetic transaminase
654,Serum glutamic-pyruvic transaminase
655,Total bilirubin
656,Isoniazid
657,CD4 panel
658,Levoflox
659,Haart active
660,Haart reserved
661,Haart eligible
662,Anti-venin snake
663,Rash allergic
664,Negative
665,Neg
666,Epithelial cells
667,Epi cells
668,Gram positive rods
669,Gram +ve rods
670,GPCS
671,Gram negative rods
672,Gram -ve rods
673,GNRS
674,Urethral
675,Diplococci
676,Pus cells
677,WBCS
678,White blood cells
679,Red blood cells
680,White cells
681,RB cells
682,RBCS
683,Trichomonas vaginalis
684,Trichomonas
685,T vaginalis
686,Yeast cells
687,Yeast
688,A+
689,A
690,A positive
691,A-
692,A negative
693,B+
694,B positive
695,B-
696,B negative
697,B
698,O+
699,O positive
700,O-
701,O negative
702,O
703,Positive
704,Pos
705,Pressure sensation
706,Cyst
707,Cyst histolytica
708,E histolytica
709,Entamoeba histolytica
710,Entomoeba coli
711,E coli
712,Giardia
713,Giardia lamblia
714,Glucose positive
715,Glucose pos
716,Ova
717,Total protein
718,Protein pos
719,Trophozoite
720,Albumin positive
721,Albumin pos
722,Amorphous phosphate crystals
723,Amorphous phos crystals
724,Bacteria
725,Calcium oxalate crystals
726,Granular cells
727,Motile bacteria
728,Sugar
729,Platelets
730,Cd4%
731,Quinapril
732,Acyclovir
733,Alprazolam
734,Avelox
735,Azithromycin
736,Ceftin
737,Cefuroxime
738,Celebrex
739,Celestamine
740,Ciprofloxacin
741,Claritin
742,Daktarin oral gel
743,Dihydrocodeine
744,Diflucan
745,Ethambutol
746,Famvir
747,Fluconazole
748,Imipramine
749,Indinavir
750,Isoniazid
751,Metoclopramide
752,Lansoprazole
753,Lasix
754,Levaquin
755,Levofloxacin
756,Motilium
757,Mycelex
758,Nasacort
759,Bifonazole
760,Nexium
761,Nizarol
762,Sharp sensation
763,Pantoprazole
764,Plasil
765,Prednisolone
766,Pyridoxine
767,Rifampicin
768,Rifampicin isoniazid and pyrazinamide
769,Salicylic acid oint
770,Sporanox
771,Stocrin
772,Suprax
773,Ferrous sulfate and folic acid
774,Triple rx for helicobacter
775,Vioxx
776,Xanax
777,Lidocaine and Hydrocortisone
778,Zovirax
779,Cetirizine
780,Oral contraception
781,Diptheria tetanus and pertussis vaccination
782,Hepatitis B vaccination
783,Oral polio vaccination
784,Penicillin
785,Alkaline phosphatase
786,Betamethasone
787,DF118
788,Zyncet
789,Neltolon
790,Serum creatinine
791,Emtricitabine
792,Stavudine Lamivudine and Nevirapine
793,Kaletra
794,Lopinavir and Ritonavir
795,Ritonavir
796,Didanosine
797,Zidovudine
798,Salbutamol
799,Halofantrine
800,EFV
801,Tachypnea
802,Tenofovir
803,Viread
804,Emtriva
805,FTC
806,Videx
807,DDI
808,NVP
809,EMTRI
810,Amprenavir
811,Indinavir
812,Crixavan
813,IDV
814,Abacavir
815,Ziagen
816,ABC
817,Abacavir Lamivudine and Zidovudine
818,Adherence
819,Cannot afford treatment
820,Transport problems
821,Peripheral neuropathy
822,Exposure to HIV
823,HIV wasting syndrome (severe weight loss + persistent fever or severe weight loss + chronic diarrhoea)
824,Nasal blockage
825,Hepatosplenomegaly
826,Oral hairy leukoplakia
827,PCP
828,Hemiparesis
829,Eczema
830,Laryngitis
831,Pulmonary tuberculosis
832,Weight loss
833,Unable to walk
834,Breastfeeding
835,Tinea corporis
836,Herpes zoster
837,Hyperacidity
839,Thrombocytopenia
840,Hematuria
841,Tumour
