drug_id,name,units
179,Magnesium trisilicate compound (250mg tablet),tab(s)
180,Methyldopa (250mg tablet),tab(s)
181,Metoclopramide (10mg tablet),tab(s)
182,Metronidazole .5% (5mg ampulle),tab(s)
183,Metronidazole (250mg tablet),tab(s)
185,Miconazole 2% cream (30g tube),application
186,Miconazole oral gel (20mg tube),application
187,Nalidixic Acid (1g),g
188,"Nystatin (100,000 IU tablet)",tab(s)
189,"Nystatin susp 100,000 IU/dose (30ml bottle)",ml
190,Omeprazole (20mg),tab(s)
191,ORS (Oral Rehydration Salt 20g/dose),unit(s)
192,Paracetamol (5ml),ml
193,Penicillin V (250mg tablet),tab(s)
194,Phenytoin sodium (100mg tablet),tab(s)
195,Phenytoin sodium (25mg tablet),tab(s)
196,Prednisolone (10mg),tab(s)
197,Prednisolone (5mg tablet),tab(s)
198,Proguanil hydrochloride (100mg tablet),tab(s)
199,Propranolol (40mg tablet),tab(s)
200,Pyridoxine (20mg),tab(s)
201,Quinine (150mg/5ml susp),ml
203,Salbutamol (4mg tablet),tab(s)
204,Salbutamol MDI (100mcg/dose),mcg
205,Sulphadoxine and Pyrimenthane (25mg tablet),tab(s)
206,Tetracycline Hydrochloride eye ointment (1%),application
207,Vitamin B complex (15mg tablet),tab(s)
208,Acetazolamide (250mg tablet),tab(s)
209,Adrenaline 1/1000 (1ml ampulle),ml
210,Ascorbic Acid (250mg tablet),tab(s)
212,Atropine sulphate  600mcg/ml (1ml ampulle),ml
213,Quinine Injection,mg
214,Bisacodyl (5mg tablet),tab(s)
215,Calcium Gluconate 10% (8.94mg ampulle),tab(s)
216,Captopril (25mg tablet),tab(s)
217,Clindamycin (150mg capsule),tab(s)
218,Clindamycin (150mg tablet),tab(s)
219,Conjugated estrogen (0.625mg tablet),tab(s)
220,Dexamethazone Sodium Phosphate (5mg ampulle),drop(s)
221,Dextrose 50% (20ml ampulle),ml
222,Fluoxetine (20mg capsule),tab(s)
223,Glibenclamide (5mg tablet),tab(s)
224,Griseofulvin (125mg tablet),tab(s)
225,Griseofulvin (250mg tablet) ,tab(s)
