drug_id,name,units
171,Magnesium trisilicate compound (250mg tablet),tab(s)
172,Methyldopa (250mg tablet),tab(s)
173,Metoclopramide (10mg tablet),tab(s)
174,Metronidazole .5% (5mg ampulle),tab(s)
175,Metronidazole (250mg tablet),tab(s)
176,Miconazole 2% cream (30g tube),application
177,Miconazole oral gel (20mg tube),application
178,Nalidixic Acid (1g),g
179,"Nystatin (100,000 IU tablet)",tab(s)
180,"Nystatin susp 100,000 IU/dose (30ml bottle)",ml
181,Omeprazole (20mg),tab(s)
182,ORS (Oral Rehydration Salt 20g/dose),unit(s)
183,Paracetamol (5ml),ml
184,Penicillin V (250mg tablet),tab(s)
185,Phenytoin sodium (100mg tablet),tab(s)
186,Phenytoin sodium (25mg tablet),tab(s)
187,Prednisolone (10mg),tab(s)
188,Prednisolone (5mg tablet),tab(s)
189,Proguanil hydrochloride (100mg tablet),tab(s)
190,Propranolol (40mg tablet),tab(s)
191,Pyridoxine (20mg),tab(s)
192,Quinine (150mg/5ml susp),ml
193,Quinine 150milligram Bottle ,mg
194,Salbutamol (4mg tablet),tab(s)
195,Salbutamol MDI (100mcg/dose),mcg
196,Sulphadoxine and Pyrimenthane (25mg tablet),tab(s)
197,Tetracycline Hydrochloride eye ointment (1%),application
198,Vitamin B complex (15mg tablet),tab(s)
199,Acetazolamide (250mg tablet),tab(s)
200,Adrenaline 1/1000 (1ml ampulle),ml
201,Ascorbic Acid (250mg tablet),tab(s)
202,Ascorbic Acid 250mg tablet,mg
203,Atropine sulphate 600mcg/ml (1ml ampulle),
204,Quinine Injection,mg
205,Bisacodyl (5mg tablet),tab(s)
206,Calcium Gluconate 10% (8.94mg ampulle),tab(s)
207,Captopril (25mg tablet),tab(s)
208,Clindamycin (150mg capsule),tab(s)
209,Clindamycin (150mg tablet),tab(s)
210,Conjugated estrogen (0.625mg tablet),tab(s)
211,Dexamethazone Sodium Phosphate (5mg ampulle),drop(s)
212,Dextrose 50% (20ml ampulle),ml
213,Fluoxetine (20mg capsule),tab(s)
214,Glibenclamide (5mg tablet),tab(s)
215,Griseofulvin (125mg tablet),tab(s)
216,Griseofulvin (250mg tablet) ,tab(s)
217,Griseofulvin (500mg tablet) ,tab(s)
218,Haloperidol (5mg tablet),tab(s)
219,Hydrocortisone Sodium Succinate (50mg/ml 2ml ampul,ml
220,Ivermectin (3mg tablet) ,tab(s)
221,Ivermectin (6mg tablet) ,tab(s)
222,Levodopa + Carbidopa (250mg tablet) ,tab(s)
223,Levothyroxine (100mg tablet) ,tab(s)
224,Lidocaine Hydrochloride (HCL) 1% (25ml ampulle),ml
